,registro,clima,temperatura,sens_termica,humedad,viento,total,fecha_nueva,festividad,festividad_1,mes_bueno,dia_semana_nuevo,no_laboral_nuevo,año_map,estacion_map
34,35,2,8.7,11.4,59.0,8.6,1708,2018-02-04,,0,2,6,0,0,0
35,36,2,9.6,12.2,93.0,10.8,1005,2018-02-05,,0,2,0,1,0,0
36,37,1,11.7,14.6,57.0,9.5,1623,2018-02-06,,0,2,1,1,0,0
37,38,1,11.1,15.2,74.0,3.0,1712,2018-02-07,,0,2,2,1,0,0
38,39,1,9.0,9.9,54.0,24.3,1530,2018-02-08,,0,2,3,1,0,0
39,40,2,5.5,7.2,49.0,12.7,1605,2018-02-09,,0,2,4,1,0,0
40,41,1,5.9,7.5,44.0,14.9,1538,2018-02-10,,0,2,5,0,0,0
41,42,1,7.8,10.7,51.0,7.3,1746,2018-02-11,,0,2,6,0,0,0
42,43,1,9.1,11.6,54.0,13.6,1472,2018-02-12,,0,2,0,1,0,0
43,44,1,13.0,16.2,46.0,17.5,1589,2018-02-13,,0,2,1,1,0,0
44,45,1,17.0,19.9,38.0,28.0,1913,2018-02-14,,0,2,2,1,0,0
45,46,1,10.9,12.7,31.0,19.5,1815,2018-02-15,,0,2,3,1,0,0
46,47,1,13.0,15.8,42.0,16.9,2115,2018-02-16,,0,2,4,1,0,0
47,48,1,17.9,21.4,50.0,15.4,2475,2018-02-17,,0,2,5,0,0,0
48,49,1,21.4,25.6,52.0,17.7,2927,2018-02-18,,0,2,6,0,0,0
49,50,1,16.4,19.6,19.0,34.0,1635,2018-02-19,Washington's Birthday,1,2,0,0,0,0
50,51,1,11.7,13.9,41.0,15.0,1812,2018-02-20,,0,2,1,1,0,0
51,52,2,12.4,14.2,60.0,20.6,1107,2018-02-21,,0,2,2,1,0,0
52,53,1,7.5,9.3,58.0,13.1,1450,2018-02-22,,0,2,3,1,0,0
53,54,1,9.1,12.3,42.0,6.3,1917,2018-02-23,,0,2,4,1,0,0
54,55,2,12.1,14.5,70.0,16.8,1807,2018-02-24,,0,2,5,0,0,0
55,56,2,14.9,17.5,71.0,23.2,1461,2018-02-25,,0,2,6,0,0,0
56,57,1,11.6,14.1,54.0,12.5,1969,2018-02-26,,0,2,0,1,0,0
57,58,1,14.1,17.6,68.0,8.4,2402,2018-02-27,,0,2,1,1,0,0
58,59,2,16.7,20.0,88.0,19.4,1446,2018-02-28,,0,2,2,1,0,0
59,60,1,10.9,13.2,54.0,14.5,1851,2018-03-01,,0,3,3,1,0,0
60,61,1,13.7,16.0,45.0,20.6,2134,2018-03-02,,0,3,4,1,0,0
61,62,1,8.1,10.0,32.0,15.1,1685,2018-03-03,,0,3,5,0,0,0
62,63,2,10.7,12.8,61.0,13.6,1944,2018-03-04,,0,3,6,0,0,0
63,64,2,15.8,18.9,79.0,16.9,2077,2018-03-05,,0,3,0,1,0,0
64,65,2,15.4,18.3,95.0,23.0,605,2018-03-06,,0,3,1,1,0,0
65,66,1,10.7,11.9,55.0,22.9,1872,2018-03-07,,0,3,2,1,0,0
66,67,1,12.0,15.1,42.0,8.1,2133,2018-03-08,,0,3,3,1,0,0
67,68,2,12.1,14.3,78.0,14.8,1891,2018-03-09,,0,3,4,1,0,0
68,69,3,16.0,19.3,0.0,17.5,623,2018-03-10,,0,3,5,0,0,0
69,70,2,13.0,15.2,65.0,15.6,1977,2018-03-11,,0,3,6,0,0,0
70,71,1,13.5,16.3,59.0,14.8,2132,2018-03-12,,0,3,0,1,0,0
71,72,1,15.8,19.0,53.0,18.1,2417,2018-03-13,,0,3,1,1,0,0
72,73,1,13.3,16.6,50.0,9.2,2046,2018-03-14,,0,3,2,1,0,0
73,74,2,13.0,15.9,66.0,12.3,2056,2018-03-15,,0,3,3,1,0,0
74,75,2,15.0,18.3,78.0,13.6,2192,2018-03-16,,0,3,4,1,0,0
75,76,1,17.0,20.5,60.0,14.0,2744,2018-03-17,,0,3,5,0,0,0
76,77,1,22.1,26.4,53.0,15.5,3239,2018-03-18,,0,3,6,0,0,0
77,78,1,19.4,23.3,38.0,24.7,3117,2018-03-19,,0,3,0,1,0,0
78,79,1,13.6,16.3,47.0,13.9,2471,2018-03-20,,0,3,1,1,0,0
79,80,2,17.6,20.5,74.0,19.3,2077,2018-03-21,,0,3,2,1,0,1
80,81,1,18.1,22.0,62.0,15.1,2703,2018-03-22,,0,3,3,1,0,1
81,82,2,14.2,16.9,84.0,15.7,2121,2018-03-23,,0,3,4,1,0,1
82,83,2,11.7,13.5,81.0,16.3,1865,2018-03-24,,0,3,5,0,0,1
83,84,1,10.8,12.8,50.0,15.5,2210,2018-03-25,,0,3,6,0,0,1
84,85,1,10.9,12.9,39.0,14.0,2496,2018-03-26,,0,3,0,1,0,1
85,86,2,10.4,12.5,49.0,12.3,1693,2018-03-27,,0,3,1,1,0,1
86,87,1,10.8,12.9,30.0,14.2,2028,2018-03-28,,0,3,2,1,0,1
87,88,1,12.4,14.6,31.0,15.2,2425,2018-03-29,,0,3,3,1,0,1
88,89,2,12.3,14.9,65.0,11.6,1536,2018-03-30,,0,3,4,1,0,1
89,90,3,11.0,12.9,92.0,14.6,1685,2018-03-31,,0,3,5,0,0,1
90,91,2,12.3,14.2,69.0,17.3,2227,2018-04-01,,0,4,6,0,0,1
91,92,2,12.9,15.8,65.0,13.2,2252,2018-04-02,,0,4,0,1,0,1
92,93,1,15.5,18.9,48.0,12.2,3249,2018-04-03,,0,4,1,1,0,1
93,94,1,23.5,27.1,43.0,25.8,3115,2018-04-04,,0,4,2,1,0,1
94,95,2,17.0,19.9,64.0,26.0,1795,2018-04-05,,0,4,3,1,0,1
95,96,1,16.0,19.4,47.0,17.6,2808,2018-04-06,,0,4,4,1,0,1
96,97,1,17.9,21.7,60.0,10.9,3141,2018-04-07,,0,4,5,0,0,1
97,98,2,13.8,16.2,84.0,15.2,1471,2018-04-08,,0,4,6,0,0,1
98,99,2,14.0,17.1,88.0,8.9,2455,2018-04-09,,0,4,0,1,0,1
99,100,2,17.5,21.3,86.0,9.8,2895,2018-04-10,,0,4,1,1,0,1
100,101,2,24.4,28.3,72.0,21.7,3348,2018-04-11,,0,4,2,1,0,1
101,102,2,20.6,24.7,74.0,18.4,2034,2018-04-12,,0,4,3,1,0,1
102,103,2,16.9,20.9,82.0,16.8,2162,2018-04-13,,0,4,4,1,0,1
103,104,1,19.2,23.1,54.0,7.4,3267,2018-04-14,,0,4,5,0,0,1
104,105,1,18.3,22.1,67.0,15.2,3126,2018-04-15,,0,4,6,0,0,1
105,106,3,17.7,21.3,89.0,22.8,795,2018-04-16,,0,4,0,1,0,1
106,107,1,18.7,22.3,48.0,20.3,3744,2018-04-17,,0,4,1,1,0,1
107,108,1,21.0,25.2,54.0,11.0,3429,2018-04-18,,0,4,2,1,0,1
108,109,2,20.7,24.5,67.0,10.6,3204,2018-04-19,,0,4,3,1,0,1
109,110,1,24.4,28.2,61.0,16.2,3944,2018-04-20,,0,4,4,1,0,1
110,111,1,18.8,22.7,41.0,21.8,4189,2018-04-21,,0,4,5,0,0,1
111,112,2,13.8,16.1,73.0,14.7,1683,2018-04-22,,0,4,6,0,0,1
112,113,2,18.9,22.5,89.0,15.5,4036,2018-04-23,,0,4,0,1,0,1
113,114,2,23.8,27.6,81.0,12.9,4191,2018-04-24,,0,4,1,1,0,1
114,115,1,24.9,28.7,78.0,12.4,4073,2018-04-25,,0,4,2,1,0,1
115,116,1,25.9,29.7,73.0,21.9,4400,2018-04-26,,0,4,3,1,0,1
116,117,2,25.4,28.8,84.0,20.9,3872,2018-04-27,,0,4,4,1,0,1
117,118,2,25.3,28.9,70.0,21.5,4058,2018-04-28,,0,4,5,0,0,1
118,119,1,20.9,24.9,46.0,16.1,4595,2018-04-29,,0,4,6,0,0,1
119,120,1,19.4,23.2,50.0,15.8,5312,2018-04-30,,0,4,0,1,0,1
120,121,2,18.5,22.4,76.0,7.1,3351,2018-05-01,,0,5,1,1,0,1
121,122,2,22.5,26.6,73.0,12.3,4401,2018-05-02,,0,5,2,1,0,1
122,123,2,25.3,29.1,70.0,23.0,4451,2018-05-03,,0,5,3,1,0,1
123,124,2,17.0,20.2,74.0,22.0,2633,2018-05-04,,0,5,4,1,0,1
124,125,1,18.8,22.1,44.0,19.8,4433,2018-05-05,,0,5,5,0,0,1
125,126,1,19.6,23.7,59.0,15.3,4608,2018-05-06,,0,5,6,0,0,1
126,127,1,21.3,25.6,54.0,10.8,4714,2018-05-07,,0,5,0,1,0,1
127,128,1,21.7,25.9,63.0,5.0,4333,2018-05-08,,0,5,1,1,0,1
128,129,1,21.8,26.3,59.0,11.8,4362,2018-05-09,,0,5,2,1,0,1
129,130,1,21.8,26.1,49.0,7.7,4803,2018-05-10,,0,5,3,1,0,1
130,131,1,22.2,26.4,63.0,8.1,4182,2018-05-11,,0,5,4,1,0,1
131,132,1,21.9,26.2,75.0,12.7,4864,2018-05-12,,0,5,5,0,0,1
132,133,2,21.0,24.7,86.0,12.0,4105,2018-05-13,,0,5,6,0,0,1
133,134,2,21.4,25.0,92.0,9.0,3409,2018-05-14,,0,5,0,1,0,1
134,135,2,23.1,26.8,87.0,10.2,4553,2018-05-15,,0,5,1,1,0,1
135,136,1,23.7,27.5,79.0,8.5,3958,2018-05-16,,0,5,2,1,0,1
136,137,2,23.0,26.9,84.0,18.6,4123,2018-05-17,,0,5,3,1,0,1
137,138,2,22.6,26.4,87.0,13.5,3855,2018-05-18,,0,5,4,1,0,1
138,139,2,21.8,25.5,83.0,7.3,4575,2018-05-19,,0,5,5,0,0,1
139,140,1,22.0,26.5,72.0,8.4,4917,2018-05-20,,0,5,6,0,0,1
140,141,1,24.7,28.6,63.0,8.1,5805,2018-05-21,,0,5,0,1,0,1
141,142,1,24.8,28.7,75.0,9.9,4660,2018-05-22,,0,5,1,1,0,1
142,143,2,25.9,29.5,81.0,15.7,4274,2018-05-23,,0,5,2,1,0,1
143,144,2,27.1,30.2,74.0,13.9,4492,2018-05-24,,0,5,3,1,0,1
144,145,1,27.1,30.8,70.0,10.3,4978,2018-05-25,,0,5,4,1,0,1
145,146,1,29.0,32.7,68.0,13.4,4677,2018-05-26,,0,5,5,0,0,1
146,147,1,28.0,31.9,65.0,16.1,4679,2018-05-27,,0,5,6,0,0,1
147,148,1,26.9,30.6,73.0,15.4,4758,2018-05-28,Memorial Day,1,5,0,0,0,1
148,149,1,27.4,30.8,82.0,14.3,4788,2018-05-29,,0,5,1,1,0,1
149,150,1,30.1,33.6,68.0,8.8,4098,2018-05-30,,0,5,2,1,0,1
150,151,1,31.8,36.3,64.0,7.5,3982,2018-05-31,,0,5,3,1,0,1
151,152,2,31.3,36.0,68.0,13.9,3974,2018-06-01,,0,6,4,1,0,1
152,153,1,29.3,32.2,30.0,19.6,4968,2018-06-02,,0,6,5,0,0,1
153,154,1,25.4,29.4,35.0,17.0,5312,2018-06-03,,0,6,6,0,0,1
154,155,1,26.0,29.7,46.0,8.3,5342,2018-06-04,,0,6,0,1,0,1
155,156,2,26.6,30.8,65.0,9.3,4906,2018-06-05,,0,6,1,1,0,1
156,157,1,27.8,31.1,60.0,8.2,4548,2018-06-06,,0,6,2,1,0,1
157,158,1,29.0,32.8,60.0,12.6,4833,2018-06-07,,0,6,3,1,0,1
158,159,1,31.8,36.4,62.0,9.2,4401,2018-06-08,,0,6,4,1,0,1
159,160,2,33.1,37.9,57.0,10.0,3915,2018-06-09,,0,6,5,0,0,1
160,161,1,31.0,35.2,60.0,9.4,4586,2018-06-10,,0,6,6,0,0,1
161,162,1,29.7,33.9,65.0,10.4,4966,2018-06-11,,0,6,0,1,0,1
162,163,1,28.4,32.2,75.0,11.0,4460,2018-06-12,,0,6,1,1,0,1
163,164,1,26.0,30.1,49.0,20.5,5020,2018-06-13,,0,6,2,1,0,1
164,165,1,24.8,29.6,51.0,18.0,4891,2018-06-14,,0,6,3,1,0,1
165,166,1,25.7,29.4,47.0,11.3,5180,2018-06-15,,0,6,4,1,0,1
166,167,2,25.8,29.8,69.0,13.8,3767,2018-06-16,,0,6,5,0,0,1
167,168,1,26.6,30.0,74.0,9.6,4844,2018-06-17,,0,6,6,0,0,1
168,169,1,28.6,32.2,67.0,8.0,5119,2018-06-18,,0,6,0,1,0,1
169,170,2,28.7,32.3,67.0,6.8,4744,2018-06-19,,0,6,1,1,0,1
170,171,2,26.0,29.8,75.0,10.4,4010,2018-06-20,,0,6,2,1,0,1
171,172,2,27.9,31.9,77.0,11.5,4835,2018-06-21,,0,6,3,1,0,3
172,173,1,30.1,34.7,71.0,11.5,4507,2018-06-22,,0,6,4,1,0,3
173,174,2,29.9,34.7,70.0,16.0,4790,2018-06-23,,0,6,5,0,0,3
174,175,1,29.7,32.8,57.0,14.9,4991,2018-06-24,,0,6,6,0,0,3
175,176,1,28.5,32.2,48.0,14.0,5202,2018-06-25,,0,6,0,1,0,3
176,177,1,27.9,31.9,51.0,6.3,5305,2018-06-26,,0,6,1,1,0,3
177,178,2,28.0,31.9,66.0,7.2,4708,2018-06-27,,0,6,2,1,0,3
178,179,1,30.5,34.6,63.0,9.7,4648,2018-06-28,,0,6,3,1,0,3
179,180,1,29.9,32.7,50.0,17.5,5225,2018-06-29,,0,6,4,1,0,3
180,181,1,28.6,31.9,43.0,12.4,5515,2018-06-30,,0,6,5,0,0,3
181,182,1,29.6,32.6,40.0,6.9,5362,2018-07-01,,0,7,6,0,0,3
182,183,1,30.3,33.4,44.0,7.7,5119,2018-07-02,,0,7,0,1,0,3
183,184,2,29.4,33.4,68.0,15.3,4649,2018-07-03,,0,7,1,1,0,3
184,185,2,29.8,33.3,64.0,5.5,6043,2018-07-04,Independence Day,1,7,2,0,0,3
185,186,1,30.6,34.8,59.0,8.5,4665,2018-07-05,,0,7,3,1,0,3
186,187,1,29.5,34.3,74.0,10.0,4629,2018-07-06,,0,7,4,1,0,3
187,188,1,30.8,34.3,65.0,10.7,4592,2018-07-07,,0,7,5,0,0,3
188,189,2,29.1,33.5,76.0,15.1,4040,2018-07-08,,0,7,6,0,0,3
189,190,1,30.1,33.2,61.0,11.3,5336,2018-07-09,,0,7,0,1,0,3
190,191,1,30.6,34.5,58.0,12.3,4881,2018-07-10,,0,7,1,1,0,3
191,192,1,31.3,36.5,64.0,18.9,4086,2018-07-11,,0,7,2,1,0,3
192,193,1,32.6,37.0,56.0,13.4,4258,2018-07-12,,0,7,3,1,0,3
193,194,1,30.6,34.5,63.0,9.8,4342,2018-07-13,,0,7,4,1,0,3
194,195,1,27.9,31.8,48.0,16.1,5084,2018-07-14,,0,7,5,0,0,3
195,196,1,27.2,31.2,59.0,12.2,5538,2018-07-15,,0,7,6,0,0,3
196,197,1,28.2,31.9,58.0,14.0,5923,2018-07-16,,0,7,0,1,0,3
197,198,1,29.5,33.5,60.0,16.4,5302,2018-07-17,,0,7,1,1,0,3
198,199,1,30.6,35.2,65.0,14.5,4458,2018-07-18,,0,7,2,1,0,3
199,200,1,31.8,37.4,65.0,8.8,4541,2018-07-19,,0,7,3,1,0,3
200,201,1,31.5,37.3,71.0,7.6,4332,2018-07-20,,0,7,4,1,0,3
201,202,2,33.4,41.3,69.0,14.9,3784,2018-07-21,,0,7,5,0,0,3
202,203,1,34.8,42.0,58.0,8.9,3387,2018-07-22,,0,7,6,0,0,3
203,204,1,34.8,40.2,50.0,8.8,3285,2018-07-23,,0,7,0,1,0,3
204,205,1,34.0,39.7,55.0,11.3,3606,2018-07-24,,0,7,1,1,0,3
205,206,1,30.5,36.0,76.0,6.1,3840,2018-07-25,,0,7,2,1,0,3
206,207,1,31.6,34.8,54.0,13.4,4590,2018-07-26,,0,7,3,1,0,3
207,208,1,31.8,34.5,40.0,12.3,4656,2018-07-27,,0,7,4,1,0,3
208,209,1,32.0,37.0,58.0,12.0,4390,2018-07-28,,0,7,5,0,0,3
209,210,1,34.4,39.3,54.0,11.7,3846,2018-07-29,,0,7,6,0,0,3
210,211,1,33.0,36.4,47.0,11.3,4475,2018-07-30,,0,7,0,1,0,3
211,212,1,33.0,36.5,48.0,11.0,4302,2018-07-31,,0,7,1,1,0,3
212,213,1,31.6,35.2,55.0,10.5,4266,2018-08-01,,0,8,2,1,0,3
213,214,1,32.1,35.4,49.0,13.8,4845,2018-08-02,,0,8,3,1,0,3
214,215,2,30.0,34.0,66.0,9.1,3574,2018-08-03,,0,8,4,1,0,3
215,216,2,29.1,33.2,76.0,13.2,4576,2018-08-04,,0,8,5,0,0,3
216,217,1,29.1,32.8,63.0,12.4,4866,2018-08-05,,0,8,6,0,0,3
217,218,2,29.4,33.8,76.0,15.3,4294,2018-08-06,,0,8,0,1,0,3
218,219,1,30.4,35.8,75.0,13.5,3785,2018-08-07,,0,8,1,1,0,3
219,220,1,31.4,35.2,59.0,12.9,4326,2018-08-08,,0,8,2,1,0,3
220,221,1,31.8,36.2,57.0,10.1,4602,2018-08-09,,0,8,3,1,0,3
221,222,1,31.4,34.2,42.0,13.4,4780,2018-08-10,,0,8,4,1,0,3
222,223,1,29.4,32.6,42.0,11.0,4792,2018-08-11,,0,8,5,0,0,3
223,224,1,29.0,32.7,42.0,8.4,4905,2018-08-12,,0,8,6,0,0,3
224,225,2,28.1,32.3,73.0,14.2,4150,2018-08-13,,0,8,0,1,0,3
225,226,2,27.7,31.2,82.0,14.9,3820,2018-08-14,,0,8,1,1,0,3
226,227,1,27.3,30.8,71.0,14.0,4338,2018-08-15,,0,8,2,1,0,3
227,228,1,28.7,32.3,58.0,15.8,4725,2018-08-16,,0,8,3,1,0,3
228,229,1,29.7,33.3,58.0,9.6,4694,2018-08-17,,0,8,4,1,0,3
229,230,1,29.2,33.1,65.0,15.6,3805,2018-08-18,,0,8,5,0,0,3
230,231,2,28.1,31.7,72.0,9.3,4153,2018-08-19,,0,8,6,0,0,3
231,232,1,28.6,32.4,67.0,7.0,5191,2018-08-20,,0,8,0,1,0,3
232,233,1,29.1,33.8,77.0,16.7,3873,2018-08-21,,0,8,1,1,0,3
233,234,1,28.4,31.9,47.0,18.5,4758,2018-08-22,,0,8,2,1,0,3
234,235,1,26.3,30.3,46.0,9.8,5895,2018-08-23,,0,8,3,1,0,3
235,236,1,27.6,31.5,60.0,17.0,5130,2018-08-24,,0,8,4,1,0,3
236,237,2,28.0,32.3,77.0,14.1,3542,2018-08-25,,0,8,5,0,0,3
237,238,1,28.7,33.0,76.0,5.6,4661,2018-08-26,,0,8,6,0,0,3
238,239,2,27.9,31.8,85.0,25.2,1115,2018-08-27,,0,8,0,1,0,3
239,240,1,29.0,32.4,56.0,20.4,4334,2018-08-28,,0,8,1,1,0,3
240,241,1,26.1,30.4,55.0,10.7,4634,2018-08-29,,0,8,2,1,0,3
241,242,1,26.2,29.7,55.0,8.4,5204,2018-08-30,,0,8,3,1,0,3
242,243,1,26.9,30.6,60.0,5.6,5058,2018-08-31,,0,8,4,1,0,3
243,244,1,26.9,30.7,64.0,9.5,5115,2018-09-01,,0,9,5,0,0,3
244,245,2,26.4,30.2,73.0,9.4,4727,2018-09-02,,0,9,6,0,0,3
245,246,1,27.4,31.7,72.0,12.4,4484,2018-09-03,Labor Day,1,9,0,0,0,3
246,247,1,29.1,33.3,74.0,13.8,4940,2018-09-04,,0,9,1,1,0,3
247,248,2,27.6,31.3,79.0,14.3,3351,2018-09-05,,0,9,2,1,0,3
248,249,3,22.1,25.8,89.0,23.0,2710,2018-09-06,,0,9,3,1,0,3
249,250,3,24.6,27.2,92.0,6.5,1996,2018-09-07,,0,9,4,1,0,3
250,251,3,26.0,27.8,94.0,12.9,1842,2018-09-08,,0,9,5,0,0,3
251,252,2,26.6,28.9,90.0,8.3,3544,2018-09-09,,0,9,6,0,0,3
252,253,1,27.1,30.4,75.0,10.3,5345,2018-09-10,,0,9,0,1,0,3
253,254,1,26.8,30.5,71.0,7.7,5046,2018-09-11,,0,9,1,1,0,3
254,255,1,26.4,30.1,69.0,6.0,4713,2018-09-12,,0,9,2,1,0,3
255,256,1,26.7,30.2,71.0,9.5,4763,2018-09-13,,0,9,3,1,0,3
256,257,1,27.6,31.3,70.0,11.2,4785,2018-09-14,,0,9,4,1,0,3
257,258,2,23.7,27.7,71.0,18.2,3659,2018-09-15,,0,9,5,0,0,3
258,259,2,19.2,23.1,59.0,11.0,4760,2018-09-16,,0,9,6,0,0,3
259,260,2,20.2,23.9,72.0,12.7,4511,2018-09-17,,0,9,0,1,0,3
260,261,1,20.8,24.5,70.0,12.0,4274,2018-09-18,,0,9,1,1,0,3
261,262,2,22.5,26.5,69.0,10.2,4539,2018-09-19,,0,9,2,1,0,3
262,263,2,23.0,26.6,88.0,9.0,3641,2018-09-20,,0,9,3,1,0,3
263,264,2,24.4,27.5,90.0,6.5,4352,2018-09-21,,0,9,4,1,0,3
264,265,2,25.8,27.7,90.0,8.6,4795,2018-09-22,,0,9,5,0,0,3
265,266,2,25.0,26.1,97.0,5.3,2395,2018-09-23,,0,9,6,0,0,2
266,267,2,24.9,28.2,86.0,5.3,5423,2018-09-24,,0,9,0,1,0,2
267,268,2,26.0,28.6,84.0,3.4,5010,2018-09-25,,0,9,1,1,0,2
268,269,2,26.6,29.5,85.0,7.4,4630,2018-09-26,,0,9,2,1,0,2
269,270,2,26.1,28.7,89.0,7.9,4120,2018-09-27,,0,9,3,1,0,2
270,271,2,26.0,28.8,85.0,10.0,3907,2018-09-28,,0,9,4,1,0,2
271,272,1,25.3,28.7,70.0,11.6,4839,2018-09-29,,0,9,5,0,0,2
272,273,1,23.1,27.2,65.0,13.8,5202,2018-09-30,,0,9,6,0,0,2
273,274,2,16.8,20.6,75.0,19.6,2429,2018-10-01,,0,10,0,1,0,2
274,275,2,14.6,17.3,79.0,14.9,2918,2018-10-02,,0,10,1,1,0,2
275,276,2,15.8,19.6,76.0,5.6,3570,2018-10-03,,0,10,2,1,0,2
276,277,1,19.8,23.6,71.0,13.8,4456,2018-10-04,,0,10,3,1,0,2
277,278,1,22.1,26.4,65.0,11.9,4826,2018-10-05,,0,10,4,1,0,2
278,279,1,20.3,24.0,62.0,9.0,4765,2018-10-06,,0,10,5,0,0,2
279,280,1,20.9,25.2,68.0,1.5,4985,2018-10-07,,0,10,6,0,0,2
280,281,1,21.4,25.7,70.0,3.0,5409,2018-10-08,Columbus Day,1,10,0,0,0,2
281,282,1,22.2,26.2,73.0,4.3,5511,2018-10-09,,0,10,1,1,0,2
282,283,1,23.4,27.1,73.0,2.8,5117,2018-10-10,,0,10,2,1,0,2
283,284,2,23.2,27.3,81.0,9.6,4563,2018-10-11,,0,10,3,1,0,2
284,285,3,22.3,25.9,91.0,16.6,2416,2018-10-12,,0,10,4,1,0,2
285,286,2,24.2,27.6,90.0,9.5,2913,2018-10-13,,0,10,5,0,0,2
286,287,2,22.6,26.5,72.0,15.0,3644,2018-10-14,,0,10,6,0,0,2
287,288,1,20.8,24.9,48.0,17.3,5217,2018-10-15,,0,10,0,1,0,2
288,289,1,21.0,25.2,49.0,18.9,5041,2018-10-16,,0,10,1,1,0,2
289,290,1,21.9,25.5,58.0,11.8,4570,2018-10-17,,0,10,2,1,0,2
290,291,2,21.8,26.1,70.0,7.4,4748,2018-10-18,,0,10,3,1,0,2
291,292,3,22.2,25.7,90.0,16.3,2424,2018-10-19,,0,10,4,1,0,2
292,293,1,19.5,23.3,64.0,28.3,4195,2018-10-20,,0,10,5,0,0,2
293,294,1,17.5,21.2,57.0,14.8,4304,2018-10-21,,0,10,6,0,0,2
294,295,1,17.3,21.3,63.0,6.2,4308,2018-10-22,,0,10,0,1,0,2
295,296,1,17.3,21.1,74.0,6.7,4381,2018-10-23,,0,10,1,1,0,2
296,297,1,19.0,22.9,77.0,8.0,4187,2018-10-24,,0,10,2,1,0,2
297,298,1,19.3,23.2,62.0,11.2,4687,2018-10-25,,0,10,3,1,0,2
298,299,2,19.8,23.6,72.0,10.0,3894,2018-10-26,,0,10,4,1,0,2
299,300,2,19.3,22.9,81.0,13.3,2659,2018-10-27,,0,10,5,0,0,2
300,301,2,13.6,15.9,59.0,15.4,3747,2018-10-28,,0,10,6,0,0,2
301,302,3,10.4,11.4,88.0,23.5,627,2018-10-29,,0,10,0,1,0,2
302,303,1,13.1,16.1,62.0,11.8,3331,2018-10-30,,0,10,1,1,0,2
303,304,1,13.9,17.8,70.0,7.1,3669,2018-10-31,,0,10,2,1,0,2
304,305,1,16.4,19.9,68.0,9.1,4068,2018-11-01,,0,11,3,1,0,2
305,306,1,15.5,19.5,72.0,5.5,4186,2018-11-02,,0,11,4,1,0,2
