,registro,clima,temperatura,sens_termica,humedad,viento,ocasionales,registrados,total,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo
67,68,2,12.1,14.3,78.0,14.8,191,1700,1891,2018-03-09,,0,2018,invierno,3,4,1
68,69,3,16.0,19.3,0.0,17.5,46,577,623,2018-03-10,,0,2018,invierno,3,5,0
69,70,2,13.0,15.2,65.0,15.6,247,1730,1977,2018-03-11,,0,2018,invierno,3,6,0
70,71,1,13.5,16.3,59.0,14.8,724,1408,2132,2018-03-12,,0,2018,invierno,3,0,1
71,72,1,15.8,19.0,53.0,18.1,982,1435,2417,2018-03-13,,0,2018,invierno,3,1,1
72,73,1,13.3,16.6,50.0,9.2,359,1687,2046,2018-03-14,,0,2018,invierno,3,2,1
73,74,2,13.0,15.9,66.0,12.3,289,1767,2056,2018-03-15,,0,2018,invierno,3,3,1
74,75,2,15.0,18.3,78.0,13.6,321,1871,2192,2018-03-16,,0,2018,invierno,3,4,1
75,76,1,17.0,20.5,60.0,14.0,424,2320,2744,2018-03-17,,0,2018,invierno,3,5,0
76,77,1,22.1,26.4,53.0,15.5,884,2355,3239,2018-03-18,,0,2018,invierno,3,6,0
77,78,1,19.4,23.3,38.0,24.7,1424,1693,3117,2018-03-19,,0,2018,invierno,3,0,1
78,79,1,13.6,16.3,47.0,13.9,1047,1424,2471,2018-03-20,,0,2018,invierno,3,1,1
79,80,2,17.6,20.5,74.0,19.3,401,1676,2077,2018-03-21,,0,2018,primavera,3,2,1
80,81,1,18.1,22.0,62.0,15.1,460,2243,2703,2018-03-22,,0,2018,primavera,3,3,1
81,82,2,14.2,16.9,84.0,15.7,203,1918,2121,2018-03-23,,0,2018,primavera,3,4,1
82,83,2,11.7,13.5,81.0,16.3,166,1699,1865,2018-03-24,,0,2018,primavera,3,5,0
83,84,1,10.8,12.8,50.0,15.5,300,1910,2210,2018-03-25,,0,2018,primavera,3,6,0
84,85,1,10.9,12.9,39.0,14.0,981,1515,2496,2018-03-26,,0,2018,primavera,3,0,1
85,86,2,10.4,12.5,49.0,12.3,472,1221,1693,2018-03-27,,0,2018,primavera,3,1,1
86,87,1,10.8,12.9,30.0,14.2,222,1806,2028,2018-03-28,,0,2018,primavera,3,2,1
87,88,1,12.4,14.6,31.0,15.2,317,2108,2425,2018-03-29,,0,2018,primavera,3,3,1
88,89,2,12.3,14.9,65.0,11.6,168,1368,1536,2018-03-30,,0,2018,primavera,3,4,1
89,90,3,11.0,12.9,92.0,14.6,179,1506,1685,2018-03-31,,0,2018,primavera,3,5,0
90,91,2,12.3,14.2,69.0,17.3,307,1920,2227,2018-04-01,,0,2018,primavera,4,6,0
91,92,2,12.9,15.8,65.0,13.2,898,1354,2252,2018-04-02,,0,2018,primavera,4,0,1
92,93,1,15.5,18.9,48.0,12.2,1651,1598,3249,2018-04-03,,0,2018,primavera,4,1,1
93,94,1,23.5,27.1,43.0,25.8,734,2381,3115,2018-04-04,,0,2018,primavera,4,2,1
94,95,2,17.0,19.9,64.0,26.0,167,1628,1795,2018-04-05,,0,2018,primavera,4,3,1
95,96,1,16.0,19.4,47.0,17.6,413,2395,2808,2018-04-06,,0,2018,primavera,4,4,1
96,97,1,17.9,21.7,60.0,10.9,571,2570,3141,2018-04-07,,0,2018,primavera,4,5,0
97,98,2,13.8,16.2,84.0,15.2,172,1299,1471,2018-04-08,,0,2018,primavera,4,6,0
98,99,2,14.0,17.1,88.0,8.9,879,1576,2455,2018-04-09,,0,2018,primavera,4,0,1
99,100,2,17.5,21.3,86.0,9.8,1188,1707,2895,2018-04-10,,0,2018,primavera,4,1,1
100,101,2,24.4,28.3,72.0,21.7,855,2493,3348,2018-04-11,,0,2018,primavera,4,2,1
101,102,2,20.6,24.7,74.0,18.4,257,1777,2034,2018-04-12,,0,2018,primavera,4,3,1
102,103,2,16.9,20.9,82.0,16.8,209,1953,2162,2018-04-13,,0,2018,primavera,4,4,1
103,104,1,19.2,23.1,54.0,7.4,529,2738,3267,2018-04-14,,0,2018,primavera,4,5,0
104,105,1,18.3,22.1,67.0,15.2,642,2484,3126,2018-04-15,,0,2018,primavera,4,6,0
105,106,3,17.7,21.3,89.0,22.8,121,674,795,2018-04-16,,0,2018,primavera,4,0,1
106,107,1,18.7,22.3,48.0,20.3,1558,2186,3744,2018-04-17,,0,2018,primavera,4,1,1
107,108,1,21.0,25.2,54.0,11.0,669,2760,3429,2018-04-18,,0,2018,primavera,4,2,1
108,109,2,20.7,24.5,67.0,10.6,409,2795,3204,2018-04-19,,0,2018,primavera,4,3,1
109,110,1,24.4,28.2,61.0,16.2,613,3331,3944,2018-04-20,,0,2018,primavera,4,4,1
110,111,1,18.8,22.7,41.0,21.8,745,3444,4189,2018-04-21,,0,2018,primavera,4,5,0
111,112,2,13.8,16.1,73.0,14.7,177,1506,1683,2018-04-22,,0,2018,primavera,4,6,0
112,113,2,18.9,22.5,89.0,15.5,1462,2574,4036,2018-04-23,,0,2018,primavera,4,0,1
113,114,2,23.8,27.6,81.0,12.9,1710,2481,4191,2018-04-24,,0,2018,primavera,4,1,1
114,115,1,24.9,28.7,78.0,12.4,773,3300,4073,2018-04-25,,0,2018,primavera,4,2,1
115,116,1,25.9,29.7,73.0,21.9,678,3722,4400,2018-04-26,,0,2018,primavera,4,3,1
116,117,2,25.4,28.8,84.0,20.9,547,3325,3872,2018-04-27,,0,2018,primavera,4,4,1
117,118,2,25.3,28.9,70.0,21.5,569,3489,4058,2018-04-28,,0,2018,primavera,4,5,0
118,119,1,20.9,24.9,46.0,16.1,878,3717,4595,2018-04-29,,0,2018,primavera,4,6,0
119,120,1,19.4,23.2,50.0,15.8,1965,3347,5312,2018-04-30,,0,2018,primavera,4,0,1
120,121,2,18.5,22.4,76.0,7.1,1138,2213,3351,2018-05-01,,0,2018,primavera,5,1,1
121,122,2,22.5,26.6,73.0,12.3,847,3554,4401,2018-05-02,,0,2018,primavera,5,2,1
122,123,2,25.3,29.1,70.0,23.0,603,3848,4451,2018-05-03,,0,2018,primavera,5,3,1
123,124,2,17.0,20.2,74.0,22.0,255,2378,2633,2018-05-04,,0,2018,primavera,5,4,1
124,125,1,18.8,22.1,44.0,19.8,614,3819,4433,2018-05-05,,0,2018,primavera,5,5,0
125,126,1,19.6,23.7,59.0,15.3,894,3714,4608,2018-05-06,,0,2018,primavera,5,6,0
126,127,1,21.3,25.6,54.0,10.8,1612,3102,4714,2018-05-07,,0,2018,primavera,5,0,1
127,128,1,21.7,25.9,63.0,5.0,1401,2932,4333,2018-05-08,,0,2018,primavera,5,1,1
128,129,1,21.8,26.3,59.0,11.8,664,3698,4362,2018-05-09,,0,2018,primavera,5,2,1
129,130,1,21.8,26.1,49.0,7.7,694,4109,4803,2018-05-10,,0,2018,primavera,5,3,1
130,131,1,22.2,26.4,63.0,8.1,550,3632,4182,2018-05-11,,0,2018,primavera,5,4,1
131,132,1,21.9,26.2,75.0,12.7,695,4169,4864,2018-05-12,,0,2018,primavera,5,5,0
132,133,2,21.0,24.7,86.0,12.0,692,3413,4105,2018-05-13,,0,2018,primavera,5,6,0
133,134,2,21.4,25.0,92.0,9.0,902,2507,3409,2018-05-14,,0,2018,primavera,5,0,1
134,135,2,23.1,26.8,87.0,10.2,1582,2971,4553,2018-05-15,,0,2018,primavera,5,1,1
135,136,1,23.7,27.5,79.0,8.5,773,3185,3958,2018-05-16,,0,2018,primavera,5,2,1
136,137,2,23.0,26.9,84.0,18.6,678,3445,4123,2018-05-17,,0,2018,primavera,5,3,1
137,138,2,22.6,26.4,87.0,13.5,536,3319,3855,2018-05-18,,0,2018,primavera,5,4,1
138,139,2,21.8,25.5,83.0,7.3,735,3840,4575,2018-05-19,,0,2018,primavera,5,5,0
139,140,1,22.0,26.5,72.0,8.4,909,4008,4917,2018-05-20,,0,2018,primavera,5,6,0
140,141,1,24.7,28.6,63.0,8.1,2258,3547,5805,2018-05-21,,0,2018,primavera,5,0,1
141,142,1,24.8,28.7,75.0,9.9,1576,3084,4660,2018-05-22,,0,2018,primavera,5,1,1
142,143,2,25.9,29.5,81.0,15.7,836,3438,4274,2018-05-23,,0,2018,primavera,5,2,1
143,144,2,27.1,30.2,74.0,13.9,659,3833,4492,2018-05-24,,0,2018,primavera,5,3,1
144,145,1,27.1,30.8,70.0,10.3,740,4238,4978,2018-05-25,,0,2018,primavera,5,4,1
145,146,1,29.0,32.7,68.0,13.4,758,3919,4677,2018-05-26,,0,2018,primavera,5,5,0
146,147,1,28.0,31.9,65.0,16.1,871,3808,4679,2018-05-27,,0,2018,primavera,5,6,0
147,148,1,26.9,30.6,73.0,15.4,2001,2757,4758,2018-05-28,Memorial Day,1,2018,primavera,5,0,0
148,149,1,27.4,30.8,82.0,14.3,2355,2433,4788,2018-05-29,,0,2018,primavera,5,1,1
149,150,1,30.1,33.6,68.0,8.8,1549,2549,4098,2018-05-30,,0,2018,primavera,5,2,1
150,151,1,31.8,36.3,64.0,7.5,673,3309,3982,2018-05-31,,0,2018,primavera,5,3,1
151,152,2,31.3,36.0,68.0,13.9,513,3461,3974,2018-06-01,,0,2018,primavera,6,4,1
152,153,1,29.3,32.2,30.0,19.6,736,4232,4968,2018-06-02,,0,2018,primavera,6,5,0
153,154,1,25.4,29.4,35.0,17.0,898,4414,5312,2018-06-03,,0,2018,primavera,6,6,0
154,155,1,26.0,29.7,46.0,8.3,1869,3473,5342,2018-06-04,,0,2018,primavera,6,0,1
155,156,2,26.6,30.8,65.0,9.3,1685,3221,4906,2018-06-05,,0,2018,primavera,6,1,1
156,157,1,27.8,31.1,60.0,8.2,673,3875,4548,2018-06-06,,0,2018,primavera,6,2,1
157,158,1,29.0,32.8,60.0,12.6,763,4070,4833,2018-06-07,,0,2018,primavera,6,3,1
158,159,1,31.8,36.4,62.0,9.2,676,3725,4401,2018-06-08,,0,2018,primavera,6,4,1
159,160,2,33.1,37.9,57.0,10.0,563,3352,3915,2018-06-09,,0,2018,primavera,6,5,0
160,161,1,31.0,35.2,60.0,9.4,815,3771,4586,2018-06-10,,0,2018,primavera,6,6,0
161,162,1,29.7,33.9,65.0,10.4,1729,3237,4966,2018-06-11,,0,2018,primavera,6,0,1
162,163,1,28.4,32.2,75.0,11.0,1467,2993,4460,2018-06-12,,0,2018,primavera,6,1,1
163,164,1,26.0,30.1,49.0,20.5,863,4157,5020,2018-06-13,,0,2018,primavera,6,2,1
164,165,1,24.8,29.6,51.0,18.0,727,4164,4891,2018-06-14,,0,2018,primavera,6,3,1
165,166,1,25.7,29.4,47.0,11.3,769,4411,5180,2018-06-15,,0,2018,primavera,6,4,1
166,167,2,25.8,29.8,69.0,13.8,545,3222,3767,2018-06-16,,0,2018,primavera,6,5,0
167,168,1,26.6,30.0,74.0,9.6,863,3981,4844,2018-06-17,,0,2018,primavera,6,6,0
168,169,1,28.6,32.2,67.0,8.0,1807,3312,5119,2018-06-18,,0,2018,primavera,6,0,1
169,170,2,28.7,32.3,67.0,6.8,1639,3105,4744,2018-06-19,,0,2018,primavera,6,1,1
170,171,2,26.0,29.8,75.0,10.4,699,3311,4010,2018-06-20,,0,2018,primavera,6,2,1
171,172,2,27.9,31.9,77.0,11.5,774,4061,4835,2018-06-21,,0,2018,verano,6,3,1
172,173,1,30.1,34.7,71.0,11.5,661,3846,4507,2018-06-22,,0,2018,verano,6,4,1
173,174,2,29.9,34.7,70.0,16.0,746,4044,4790,2018-06-23,,0,2018,verano,6,5,0
174,175,1,29.7,32.8,57.0,14.9,969,4022,4991,2018-06-24,,0,2018,verano,6,6,0
175,176,1,28.5,32.2,48.0,14.0,1782,3420,5202,2018-06-25,,0,2018,verano,6,0,1
176,177,1,27.9,31.9,51.0,6.3,1920,3385,5305,2018-06-26,,0,2018,verano,6,1,1
177,178,2,28.0,31.9,66.0,7.2,854,3854,4708,2018-06-27,,0,2018,verano,6,2,1
178,179,1,30.5,34.6,63.0,9.7,732,3916,4648,2018-06-28,,0,2018,verano,6,3,1
179,180,1,29.9,32.7,50.0,17.5,848,4377,5225,2018-06-29,,0,2018,verano,6,4,1
180,181,1,28.6,31.9,43.0,12.4,1027,4488,5515,2018-06-30,,0,2018,verano,6,5,0
181,182,1,29.6,32.6,40.0,6.9,1246,4116,5362,2018-07-01,,0,2018,verano,7,6,0
182,183,1,30.3,33.4,44.0,7.7,2204,2915,5119,2018-07-02,,0,2018,verano,7,0,1
183,184,2,29.4,33.4,68.0,15.3,2282,2367,4649,2018-07-03,,0,2018,verano,7,1,1
184,185,2,29.8,33.3,64.0,5.5,3065,2978,6043,2018-07-04,Independence Day,1,2018,verano,7,2,0
185,186,1,30.6,34.8,59.0,8.5,1031,3634,4665,2018-07-05,,0,2018,verano,7,3,1
186,187,1,29.5,34.3,74.0,10.0,784,3845,4629,2018-07-06,,0,2018,verano,7,4,1
187,188,1,30.8,34.3,65.0,10.7,754,3838,4592,2018-07-07,,0,2018,verano,7,5,0
188,189,2,29.1,33.5,76.0,15.1,692,3348,4040,2018-07-08,,0,2018,verano,7,6,0
189,190,1,30.1,33.2,61.0,11.3,1988,3348,5336,2018-07-09,,0,2018,verano,7,0,1
190,191,1,30.6,34.5,58.0,12.3,1743,3138,4881,2018-07-10,,0,2018,verano,7,1,1
191,192,1,31.3,36.5,64.0,18.9,723,3363,4086,2018-07-11,,0,2018,verano,7,2,1
192,193,1,32.6,37.0,56.0,13.4,662,3596,4258,2018-07-12,,0,2018,verano,7,3,1
193,194,1,30.6,34.5,63.0,9.8,748,3594,4342,2018-07-13,,0,2018,verano,7,4,1
194,195,1,27.9,31.8,48.0,16.1,888,4196,5084,2018-07-14,,0,2018,verano,7,5,0
195,196,1,27.2,31.2,59.0,12.2,1318,4220,5538,2018-07-15,,0,2018,verano,7,6,0
196,197,1,28.2,31.9,58.0,14.0,2418,3505,5923,2018-07-16,,0,2018,verano,7,0,1
197,198,1,29.5,33.5,60.0,16.4,2006,3296,5302,2018-07-17,,0,2018,verano,7,1,1
198,199,1,30.6,35.2,65.0,14.5,841,3617,4458,2018-07-18,,0,2018,verano,7,2,1
199,200,1,31.8,37.4,65.0,8.8,752,3789,4541,2018-07-19,,0,2018,verano,7,3,1
200,201,1,31.5,37.3,71.0,7.6,644,3688,4332,2018-07-20,,0,2018,verano,7,4,1
201,202,2,33.4,41.3,69.0,14.9,632,3152,3784,2018-07-21,,0,2018,verano,7,5,0
202,203,1,34.8,42.0,58.0,8.9,562,2825,3387,2018-07-22,,0,2018,verano,7,6,0
203,204,1,34.8,40.2,50.0,8.8,987,2298,3285,2018-07-23,,0,2018,verano,7,0,1
204,205,1,34.0,39.7,55.0,11.3,1050,2556,3606,2018-07-24,,0,2018,verano,7,1,1
205,206,1,30.5,36.0,76.0,6.1,568,3272,3840,2018-07-25,,0,2018,verano,7,2,1
206,207,1,31.6,34.8,54.0,13.4,750,3840,4590,2018-07-26,,0,2018,verano,7,3,1
207,208,1,31.8,34.5,40.0,12.3,755,3901,4656,2018-07-27,,0,2018,verano,7,4,1
208,209,1,32.0,37.0,58.0,12.0,606,3784,4390,2018-07-28,,0,2018,verano,7,5,0
209,210,1,34.4,39.3,54.0,11.7,670,3176,3846,2018-07-29,,0,2018,verano,7,6,0
210,211,1,33.0,36.4,47.0,11.3,1559,2916,4475,2018-07-30,,0,2018,verano,7,0,1
211,212,1,33.0,36.5,48.0,11.0,1524,2778,4302,2018-07-31,,0,2018,verano,7,1,1
212,213,1,31.6,35.2,55.0,10.5,729,3537,4266,2018-08-01,,0,2018,verano,8,2,1
213,214,1,32.1,35.4,49.0,13.8,801,4044,4845,2018-08-02,,0,2018,verano,8,3,1
214,215,2,30.0,34.0,66.0,9.1,467,3107,3574,2018-08-03,,0,2018,verano,8,4,1
215,216,2,29.1,33.2,76.0,13.2,799,3777,4576,2018-08-04,,0,2018,verano,8,5,0
216,217,1,29.1,32.8,63.0,12.4,1023,3843,4866,2018-08-05,,0,2018,verano,8,6,0
217,218,2,29.4,33.8,76.0,15.3,1521,2773,4294,2018-08-06,,0,2018,verano,8,0,1
218,219,1,30.4,35.8,75.0,13.5,1298,2487,3785,2018-08-07,,0,2018,verano,8,1,1
219,220,1,31.4,35.2,59.0,12.9,846,3480,4326,2018-08-08,,0,2018,verano,8,2,1
220,221,1,31.8,36.2,57.0,10.1,907,3695,4602,2018-08-09,,0,2018,verano,8,3,1
221,222,1,31.4,34.2,42.0,13.4,884,3896,4780,2018-08-10,,0,2018,verano,8,4,1
222,223,1,29.4,32.6,42.0,11.0,812,3980,4792,2018-08-11,,0,2018,verano,8,5,0
223,224,1,29.0,32.7,42.0,8.4,1051,3854,4905,2018-08-12,,0,2018,verano,8,6,0
224,225,2,28.1,32.3,73.0,14.2,1504,2646,4150,2018-08-13,,0,2018,verano,8,0,1
225,226,2,27.7,31.2,82.0,14.9,1338,2482,3820,2018-08-14,,0,2018,verano,8,1,1
226,227,1,27.3,30.8,71.0,14.0,775,3563,4338,2018-08-15,,0,2018,verano,8,2,1
227,228,1,28.7,32.3,58.0,15.8,721,4004,4725,2018-08-16,,0,2018,verano,8,3,1
228,229,1,29.7,33.3,58.0,9.6,668,4026,4694,2018-08-17,,0,2018,verano,8,4,1
229,230,1,29.2,33.1,65.0,15.6,639,3166,3805,2018-08-18,,0,2018,verano,8,5,0
230,231,2,28.1,31.7,72.0,9.3,797,3356,4153,2018-08-19,,0,2018,verano,8,6,0
231,232,1,28.6,32.4,67.0,7.0,1914,3277,5191,2018-08-20,,0,2018,verano,8,0,1
232,233,1,29.1,33.8,77.0,16.7,1249,2624,3873,2018-08-21,,0,2018,verano,8,1,1
233,234,1,28.4,31.9,47.0,18.5,833,3925,4758,2018-08-22,,0,2018,verano,8,2,1
234,235,1,26.3,30.3,46.0,9.8,1281,4614,5895,2018-08-23,,0,2018,verano,8,3,1
235,236,1,27.6,31.5,60.0,17.0,949,4181,5130,2018-08-24,,0,2018,verano,8,4,1
236,237,2,28.0,32.3,77.0,14.1,435,3107,3542,2018-08-25,,0,2018,verano,8,5,0
237,238,1,28.7,33.0,76.0,5.6,768,3893,4661,2018-08-26,,0,2018,verano,8,6,0
238,239,2,27.9,31.8,85.0,25.2,226,889,1115,2018-08-27,,0,2018,verano,8,0,1
239,240,1,29.0,32.4,56.0,20.4,1415,2919,4334,2018-08-28,,0,2018,verano,8,1,1
240,241,1,26.1,30.4,55.0,10.7,729,3905,4634,2018-08-29,,0,2018,verano,8,2,1
241,242,1,26.2,29.7,55.0,8.4,775,4429,5204,2018-08-30,,0,2018,verano,8,3,1
242,243,1,26.9,30.6,60.0,5.6,688,4370,5058,2018-08-31,,0,2018,verano,8,4,1
243,244,1,26.9,30.7,64.0,9.5,783,4332,5115,2018-09-01,,0,2018,verano,9,5,0
244,245,2,26.4,30.2,73.0,9.4,875,3852,4727,2018-09-02,,0,2018,verano,9,6,0
245,246,1,27.4,31.7,72.0,12.4,1935,2549,4484,2018-09-03,Labor Day,1,2018,verano,9,0,0
246,247,1,29.1,33.3,74.0,13.8,2521,2419,4940,2018-09-04,,0,2018,verano,9,1,1
247,248,2,27.6,31.3,79.0,14.3,1236,2115,3351,2018-09-05,,0,2018,verano,9,2,1
248,249,3,22.1,25.8,89.0,23.0,204,2506,2710,2018-09-06,,0,2018,verano,9,3,1
249,250,3,24.6,27.2,92.0,6.5,118,1878,1996,2018-09-07,,0,2018,verano,9,4,1
250,251,3,26.0,27.8,94.0,12.9,153,1689,1842,2018-09-08,,0,2018,verano,9,5,0
251,252,2,26.6,28.9,90.0,8.3,417,3127,3544,2018-09-09,,0,2018,verano,9,6,0
252,253,1,27.1,30.4,75.0,10.3,1750,3595,5345,2018-09-10,,0,2018,verano,9,0,1
253,254,1,26.8,30.5,71.0,7.7,1633,3413,5046,2018-09-11,,0,2018,verano,9,1,1
254,255,1,26.4,30.1,69.0,6.0,690,4023,4713,2018-09-12,,0,2018,verano,9,2,1
255,256,1,26.7,30.2,71.0,9.5,701,4062,4763,2018-09-13,,0,2018,verano,9,3,1
256,257,1,27.6,31.3,70.0,11.2,647,4138,4785,2018-09-14,,0,2018,verano,9,4,1
257,258,2,23.7,27.7,71.0,18.2,428,3231,3659,2018-09-15,,0,2018,verano,9,5,0
258,259,2,19.2,23.1,59.0,11.0,742,4018,4760,2018-09-16,,0,2018,verano,9,6,0
259,260,2,20.2,23.9,72.0,12.7,1434,3077,4511,2018-09-17,,0,2018,verano,9,0,1
