,registro,clima,temperatura,sens_termica,humedad,viento,ocasionales,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo,ocasionales_BOX
88,89,2,12.3,14.9,65.0,11.6,168,2018-03-30,,0,2018,primavera,3,4,1,12.657680730933635
89,90,3,11.0,12.9,92.0,14.6,179,2018-03-31,,0,2018,primavera,3,5,0,12.974869300592166
90,91,2,12.3,14.2,69.0,17.3,307,2018-04-01,,0,2018,primavera,4,6,0,15.94256261710444
91,92,2,12.9,15.8,65.0,13.2,898,2018-04-02,,0,2018,primavera,4,0,1,23.564163083803322
92,93,1,15.5,18.9,48.0,12.2,1651,2018-04-03,,0,2018,primavera,4,1,1,29.16929839228544
93,94,1,23.5,27.1,43.0,12.76479452054794,734,2018-04-04,,0,2018,primavera,4,2,1,21.93082900637837
94,95,2,17.0,19.9,64.0,12.76479452054794,167,2018-04-05,,0,2018,primavera,4,3,1,12.628144592995481
95,96,1,16.0,19.4,47.0,17.6,413,2018-04-06,,0,2018,primavera,4,4,1,17.80016603614257
96,97,1,17.9,21.7,60.0,10.9,571,2018-04-07,,0,2018,primavera,4,5,0,20.035534833697966
97,98,2,13.8,16.2,84.0,15.2,172,2018-04-08,,0,2018,primavera,4,6,0,12.774630478140502
98,99,2,14.0,17.1,88.0,8.9,879,2018-04-09,,0,2018,primavera,4,0,1,23.386041372438253
99,100,2,17.5,21.3,86.0,9.8,1188,2018-04-10,,0,2018,primavera,4,1,1,26.008155426024892
100,101,2,24.4,28.3,72.0,21.7,855,2018-04-11,,0,2018,primavera,4,2,1,23.157219311629966
101,102,2,20.6,24.7,74.0,18.4,257,2018-04-12,,0,2018,primavera,4,3,1,14.908886343035926
102,103,2,16.9,20.9,82.0,16.8,209,2018-04-13,,0,2018,primavera,4,4,1,13.776742994638964
103,104,1,19.2,23.1,54.0,7.4,529,2018-04-14,,0,2018,primavera,4,5,0,19.487778018067797
104,105,1,18.3,22.1,67.0,15.2,642,2018-04-15,,0,2018,primavera,4,6,0,20.901605955828177
105,106,3,17.7,21.3,89.0,22.8,121,2018-04-16,,0,2018,primavera,4,0,1,11.113079627784426
106,107,1,18.7,22.3,48.0,20.3,1558,2018-04-17,,0,2018,primavera,4,1,1,28.58858128567913
107,108,1,21.0,25.2,54.0,11.0,669,2018-04-18,,0,2018,primavera,4,2,1,21.213637959840895
108,109,2,20.7,24.5,67.0,10.6,409,2018-04-19,,0,2018,primavera,4,3,1,17.736442885382758
109,110,1,24.4,28.2,61.0,16.2,613,2018-04-20,,0,2018,primavera,4,4,1,20.556237775730427
110,111,1,18.8,22.7,41.0,21.8,745,2018-04-21,,0,2018,primavera,4,5,0,22.04782764273909
111,112,2,13.8,16.1,73.0,14.7,177,2018-04-22,,0,2018,primavera,4,6,0,12.918216096564484
112,113,2,18.9,22.5,89.0,15.5,1462,2018-04-23,,0,2018,primavera,4,0,1,27.963553673036312
113,114,2,23.8,27.6,81.0,12.9,1710,2018-04-24,,0,2018,primavera,4,1,1,29.526131634148914
114,115,1,24.9,28.7,78.0,12.4,773,2018-04-25,,0,2018,primavera,4,2,1,22.340374629654924
115,116,1,25.9,29.7,73.0,21.9,678,2018-04-26,,0,2018,primavera,4,3,1,21.315721154148726
116,117,2,25.4,28.8,84.0,20.9,547,2018-04-27,,0,2018,primavera,4,4,1,19.72606550290835
117,118,2,25.3,28.9,70.0,21.5,569,2018-04-28,,0,2018,primavera,4,5,0,20.010091317337185
118,119,1,20.9,24.9,46.0,16.1,878,2018-04-29,,0,2018,primavera,4,6,0,23.37659348724463
119,120,1,19.4,23.2,50.0,15.8,1965,2018-04-30,,0,2018,primavera,4,0,1,30.977756760975808
120,121,2,18.5,22.4,76.0,7.1,1138,2018-05-01,,0,2018,primavera,5,1,1,25.618621813127508
121,122,2,22.5,26.6,73.0,12.3,847,2018-05-02,,0,2018,primavera,5,2,1,23.07996436975643
122,123,2,25.3,29.1,70.0,23.0,603,2018-05-03,,0,2018,primavera,5,3,1,20.43454220089376
123,124,2,17.0,20.2,74.0,22.0,255,2018-05-04,,0,2018,primavera,5,4,1,14.86476215878075
124,125,1,18.8,22.1,44.0,19.8,614,2018-05-05,,0,2018,primavera,5,5,0,20.568332033916427
125,126,1,19.6,23.7,59.0,15.3,894,2018-05-06,,0,2018,primavera,5,6,0,23.526880736789884
126,127,1,21.3,25.6,54.0,10.8,1612,2018-05-07,,0,2018,primavera,5,0,1,28.928583447893377
127,128,1,21.7,25.9,63.0,5.0,1401,2018-05-08,,0,2018,primavera,5,1,1,27.5515911082642
128,129,1,21.8,26.3,59.0,11.8,664,2018-05-09,,0,2018,primavera,5,2,1,21.156516411517668
129,130,1,21.8,26.1,49.0,7.7,694,2018-05-10,,0,2018,primavera,5,3,1,21.494924611628708
130,131,1,22.2,26.4,63.0,8.1,550,2018-05-11,,0,2018,primavera,5,4,1,19.76525354547011
131,132,1,21.9,26.2,75.0,12.7,695,2018-05-12,,0,2018,primavera,5,5,0,21.506030073972326
132,133,2,21.0,24.7,86.0,12.0,692,2018-05-13,,0,2018,primavera,5,6,0,21.47268062563507
133,134,2,21.4,25.0,92.0,9.0,902,2018-05-14,,0,2018,primavera,5,0,1,23.60133138554311
134,135,2,23.1,26.8,87.0,10.2,1582,2018-05-15,,0,2018,primavera,5,1,1,28.74067805063033
135,136,1,23.7,27.5,79.0,8.5,773,2018-05-16,,0,2018,primavera,5,2,1,22.340374629654924
136,137,2,23.0,26.9,84.0,18.6,678,2018-05-17,,0,2018,primavera,5,3,1,21.315721154148726
137,138,2,22.6,26.4,87.0,13.5,536,2018-05-18,,0,2018,primavera,5,4,1,19.581098342670106
138,139,2,21.8,25.5,83.0,7.3,735,2018-05-19,,0,2018,primavera,5,5,0,21.9415148787925
139,140,1,22.0,26.5,72.0,8.4,909,2018-05-20,,0,2018,primavera,5,6,0,23.666104049985695
140,141,1,24.7,28.6,63.0,8.1,2258,2018-05-21,,0,2018,primavera,5,0,1,32.493635611282336
141,142,1,24.8,28.7,75.0,9.9,1576,2018-05-22,,0,2018,primavera,5,1,1,28.702803458400076
142,143,2,25.9,29.5,81.0,15.7,836,2018-05-23,,0,2018,primavera,5,2,1,22.97291503758539
143,144,2,27.1,30.2,74.0,13.9,659,2018-05-24,,0,2018,primavera,5,3,1,21.099098252983737
144,145,1,27.1,30.8,70.0,10.3,740,2018-05-25,,0,2018,primavera,5,4,1,21.99479477611133
145,146,1,29.0,32.7,68.0,13.4,758,2018-05-26,,0,2018,primavera,5,5,0,22.18457688355613
146,147,1,28.0,31.9,65.0,16.1,871,2018-05-27,,0,2018,primavera,5,6,0,23.31025017876754
147,148,1,26.9,30.6,73.0,15.4,2001,2018-05-28,Memorial Day,1,2018,primavera,5,0,0,31.17204917865058
148,149,1,27.4,30.8,82.0,14.3,2355,2018-05-29,,0,2018,primavera,5,1,1,32.96549803081797
149,150,1,30.1,33.6,68.0,8.8,1549,2018-05-30,,0,2018,primavera,5,2,1,28.531129586722557
150,151,1,31.8,36.3,64.0,7.5,673,2018-05-31,,0,2018,primavera,5,3,1,21.259124149551536
151,152,2,31.3,36.0,68.0,13.9,513,2018-06-01,,0,2018,primavera,6,4,1,19.27123914108854
152,153,1,29.3,32.2,30.0,19.6,736,2018-06-02,,0,2018,primavera,6,5,0,21.95219075642757
153,154,1,25.4,29.4,35.0,17.0,898,2018-06-03,,0,2018,primavera,6,6,0,23.564163083803322
154,155,1,26.0,29.7,46.0,8.3,1869,2018-06-04,,0,2018,primavera,6,0,1,30.447383980762666
155,156,2,26.6,30.8,65.0,9.3,1685,2018-06-05,,0,2018,primavera,6,1,1,29.375981589315845
156,157,1,27.8,31.1,60.0,8.2,673,2018-06-06,,0,2018,primavera,6,2,1,21.259124149551536
157,158,1,29.0,32.8,60.0,12.6,763,2018-06-07,,0,2018,primavera,6,3,1,22.23674320123708
158,159,1,31.8,36.4,62.0,9.2,676,2018-06-08,,0,2018,primavera,6,4,1,21.293116913858686
159,160,2,33.1,37.9,57.0,10.0,563,2018-06-09,,0,2018,primavera,6,5,0,19.93338978663585
160,161,1,31.0,35.2,60.0,9.4,815,2018-06-10,,0,2018,primavera,6,6,0,22.76582715788465
161,162,1,29.7,33.9,65.0,10.4,1729,2018-06-11,,0,2018,primavera,6,0,1,29.639238949011897
162,163,1,28.4,32.2,75.0,11.0,1467,2018-06-12,,0,2018,primavera,6,1,1,27.99679300534768
163,164,1,26.0,30.1,49.0,20.5,863,2018-06-13,,0,2018,primavera,6,2,1,23.23397867152947
164,165,1,24.8,29.6,51.0,18.0,727,2018-06-14,,0,2018,primavera,6,3,1,21.855746103559362
165,166,1,25.7,29.4,47.0,11.3,769,2018-06-15,,0,2018,primavera,6,4,1,22.299033346837522
166,167,2,25.8,29.8,69.0,13.8,545,2018-06-16,,0,2018,primavera,6,5,0,19.69985794668522
167,168,1,26.6,30.0,74.0,9.6,863,2018-06-17,,0,2018,primavera,6,6,0,23.23397867152947
168,169,1,28.6,32.2,67.0,8.0,1807,2018-06-18,,0,2018,primavera,6,0,1,30.094815653023783
169,170,2,28.7,32.3,67.0,6.8,1639,2018-06-19,,0,2018,primavera,6,1,1,29.095652701514325
170,171,2,26.0,29.8,75.0,10.4,699,2018-06-20,,0,2018,primavera,6,2,1,21.550342341443788
171,172,2,27.9,31.9,77.0,11.5,774,2018-06-21,,0,2018,verano,6,3,1,22.350686951070003
172,173,1,30.1,34.7,71.0,11.5,661,2018-06-22,,0,2018,verano,6,4,1,21.12210135161918
173,174,2,29.9,34.7,70.0,16.0,746,2018-06-23,,0,2018,verano,6,5,0,22.058404818947725
174,175,1,29.7,32.8,57.0,14.9,969,2018-06-24,,0,2018,verano,6,6,0,24.207703504518356
175,176,1,28.5,32.2,48.0,14.0,1782,2018-06-25,,0,2018,verano,6,0,1,29.950296245874263
176,177,1,27.9,31.9,51.0,6.3,1920,2018-06-26,,0,2018,verano,6,1,1,30.73141732555984
177,178,2,28.0,31.9,66.0,7.2,854,2018-06-27,,0,2018,verano,6,2,1,23.147589706663297
178,179,1,30.5,34.6,63.0,9.7,732,2018-06-28,,0,2018,verano,6,3,1,21.909427185155987
179,180,1,29.9,32.7,50.0,17.5,848,2018-06-29,,0,2018,verano,6,4,1,23.089648608613867
180,181,1,28.6,31.9,43.0,12.4,1027,2018-06-30,,0,2018,verano,6,5,0,24.709743019528393
181,182,1,29.6,32.6,40.0,6.9,1246,2018-07-01,,0,2018,verano,7,6,0,26.446136106214603
182,183,1,30.3,33.4,44.0,7.7,2204,2018-07-02,,0,2018,verano,7,0,1,32.22488234448447
183,184,2,29.4,33.4,68.0,15.3,2282,2018-07-03,,0,2018,verano,7,1,1,32.61166354316713
184,185,2,29.8,33.3,64.0,5.5,3065,2018-07-04,Independence Day,1,2018,verano,7,2,0,36.066919133878656
185,186,1,30.6,34.8,59.0,8.5,1031,2018-07-05,,0,2018,verano,7,3,1,24.74364008620471
186,187,1,29.5,34.3,74.0,10.0,784,2018-07-06,,0,2018,verano,7,4,1,22.453309654794126
187,188,1,30.8,34.3,65.0,10.7,754,2018-07-07,,0,2018,verano,7,5,0,22.14267316490687
188,189,2,29.1,33.5,76.0,15.1,692,2018-07-08,,0,2018,verano,7,6,0,21.47268062563507
189,190,1,30.1,33.2,61.0,11.3,1988,2018-07-09,,0,2018,verano,7,0,1,31.102167485808735
190,191,1,30.6,34.5,58.0,12.3,1743,2018-07-10,,0,2018,verano,7,1,1,29.722035320925922
191,192,1,31.3,36.5,64.0,18.9,723,2018-07-11,,0,2018,verano,7,2,1,21.812618117501934
192,193,1,32.6,37.0,56.0,13.4,662,2018-07-12,,0,2018,verano,7,3,1,21.133584952861575
193,194,1,30.6,34.5,63.0,9.8,748,2018-07-13,,0,2018,verano,7,4,1,22.079529951469855
194,195,1,27.9,31.8,48.0,16.1,888,2018-07-14,,0,2018,verano,7,5,0,23.470741491686198
195,196,1,27.2,31.2,59.0,12.2,1318,2018-07-15,,0,2018,verano,7,6,0,26.970745178912516
196,197,1,28.2,31.9,58.0,14.0,2418,2018-07-16,,0,2018,verano,7,0,1,33.264846443993484
197,198,1,29.5,33.5,60.0,16.4,2006,2018-07-17,,0,2018,verano,7,1,1,31.198843605679237
198,199,1,30.6,35.2,65.0,14.5,841,2018-07-18,,0,2018,verano,7,2,1,23.021693177184783
199,200,1,31.8,37.4,65.0,8.8,752,2018-07-19,,0,2018,verano,7,3,1,22.121663950541958
200,201,1,31.5,37.3,71.0,7.6,644,2018-07-20,,0,2018,verano,7,4,1,20.925025638650855
201,202,2,33.4,41.3,69.0,14.9,632,2018-07-21,,0,2018,verano,7,5,0,20.783748696645866
202,203,1,34.8,42.0,58.0,8.9,562,2018-07-22,,0,2018,verano,7,6,0,19.92055161087199
203,204,1,34.8,40.2,50.0,8.8,987,2018-07-23,,0,2018,verano,7,0,1,24.365670136650444
204,205,1,34.0,39.7,55.0,11.3,1050,2018-07-24,,0,2018,verano,7,1,1,24.903427537398773
205,206,1,30.5,36.0,76.0,6.1,568,2018-07-25,,0,2018,verano,7,2,1,19.997346487657108
206,207,1,31.6,34.8,54.0,13.4,750,2018-07-26,,0,2018,verano,7,3,1,22.100616270491027
207,208,1,31.8,34.5,40.0,12.3,755,2018-07-27,,0,2018,verano,7,4,1,22.15316340127055
208,209,1,32.0,37.0,58.0,12.0,606,2018-07-28,,0,2018,verano,7,5,0,20.471195691912516
209,210,1,34.4,39.3,54.0,11.7,670,2018-07-29,,0,2018,verano,7,6,0,21.22502700601416
210,211,1,33.0,36.4,47.0,11.3,1559,2018-07-30,,0,2018,verano,7,0,1,28.594950704850454
211,212,1,33.0,36.5,48.0,11.0,1524,2018-07-31,,0,2018,verano,7,1,1,28.37032739961215
212,213,1,31.6,35.2,55.0,10.5,729,2018-08-01,,0,2018,verano,8,2,1,21.877248914900424
213,214,1,32.1,35.4,49.0,13.8,801,2018-08-02,,0,2018,verano,8,3,1,22.625721240169963
214,215,2,30.0,34.0,66.0,9.1,467,2018-08-03,,0,2018,verano,8,4,1,18.62161379103075
215,216,2,29.1,33.2,76.0,13.2,799,2018-08-04,,0,2018,verano,8,5,0,22.60556894823919
216,217,1,29.1,32.8,63.0,12.4,1023,2018-08-05,,0,2018,verano,8,6,0,24.675755026759898
217,218,2,29.4,33.8,76.0,15.3,1521,2018-08-06,,0,2018,verano,8,0,1,28.350909517968855
218,219,1,30.4,35.8,75.0,13.5,1298,2018-08-07,,0,2018,verano,8,1,1,26.827039269954902
219,220,1,31.4,35.2,59.0,12.9,846,2018-08-08,,0,2018,verano,8,2,1,23.070272263845283
220,221,1,31.8,36.2,57.0,10.1,907,2018-08-09,,0,2018,verano,8,3,1,23.647632684003003
221,222,1,31.4,34.2,42.0,13.4,884,2018-08-10,,0,2018,verano,8,4,1,23.433170234919448
222,223,1,29.4,32.6,42.0,11.0,812,2018-08-11,,0,2018,verano,8,5,0,22.73594463067716
223,224,1,29.0,32.7,42.0,8.4,1051,2018-08-12,,0,2018,verano,8,6,0,24.9117821253897
224,225,2,28.1,32.3,73.0,14.2,1504,2018-08-13,,0,2018,verano,8,0,1,28.24037434972934
225,226,2,27.7,31.2,82.0,14.9,1338,2018-08-14,,0,2018,verano,8,1,1,27.112958978368034
226,227,1,27.3,30.8,71.0,14.0,775,2018-08-15,,0,2018,verano,8,2,1,22.36099011289047
227,228,1,28.7,32.3,58.0,15.8,721,2018-08-16,,0,2018,verano,8,3,1,21.790992561788407
228,229,1,29.7,33.3,58.0,9.6,668,2018-08-17,,0,2018,verano,8,4,1,21.202237198776047
229,230,1,29.2,33.1,65.0,15.6,639,2018-08-18,,0,2018,verano,8,5,0,20.866382160464436
230,231,2,28.1,31.7,72.0,9.3,797,2018-08-19,,0,2018,verano,8,6,0,22.58538193183041
231,232,1,28.6,32.4,67.0,7.0,1914,2018-08-20,,0,2018,verano,8,0,1,30.698273032716752
232,233,1,29.1,33.8,77.0,16.7,1249,2018-08-21,,0,2018,verano,8,1,1,26.46840542476412
233,234,1,28.4,31.9,47.0,18.5,833,2018-08-22,,0,2018,verano,8,2,1,22.943551772154095
234,235,1,26.3,30.3,46.0,9.8,1281,2018-08-23,,0,2018,verano,8,3,1,26.703686981463523
235,236,1,27.6,31.5,60.0,17.0,949,2018-08-24,,0,2018,verano,8,4,1,24.029799804559193
236,237,2,28.0,32.3,77.0,14.1,435,2018-08-25,,0,2018,verano,8,5,0,18.143259830460796
237,238,1,28.7,33.0,76.0,5.6,768,2018-08-26,,0,2018,verano,8,6,0,22.28867492592782
238,239,2,27.9,31.8,85.0,25.2,226,2018-08-27,,0,2018,verano,8,0,1,14.196409919260486
239,240,1,29.0,32.4,56.0,20.4,1415,2018-08-28,,0,2018,verano,8,1,1,27.64721450538754
240,241,1,26.1,30.4,55.0,10.7,729,2018-08-29,,0,2018,verano,8,2,1,21.877248914900424
241,242,1,26.2,29.7,55.0,8.4,775,2018-08-30,,0,2018,verano,8,3,1,22.36099011289047
242,243,1,26.9,30.6,60.0,5.6,688,2018-08-31,,0,2018,verano,8,4,1,21.428059653476943
243,244,1,26.9,30.7,64.0,9.5,783,2018-09-01,,0,2018,verano,9,5,0,22.443088040293315
244,245,2,26.4,30.2,73.0,9.4,875,2018-09-02,,0,2018,verano,9,6,0,23.34820535085994
245,246,1,27.4,31.7,72.0,12.4,1935,2018-09-03,Labor Day,1,2018,verano,9,0,0,30.81396754174408
246,247,1,29.1,33.3,74.0,13.8,2521,2018-09-04,,0,2018,verano,9,1,1,33.74290772827341
247,248,2,27.6,31.3,79.0,14.3,1236,2018-09-05,,0,2018,verano,9,2,1,26.371637637450757
248,249,3,22.1,25.8,89.0,23.0,204,2018-09-06,,0,2018,verano,9,3,1,13.648860266572404
249,250,3,24.6,27.2,92.0,6.5,118,2018-09-07,,0,2018,verano,9,4,1,11.001303465544996
